skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017
verification,subsuper,"formal verification,functional verification,invoice verification,physical verification,software verification,system verification,verification software,design verification testing",1189,657,397
vibration,subsuper,"vibration analysis,vibration control,vibration isolators,vibration testing",53,115,44
vision,subsuper,"artistic vision,clear vision,computer vision,machine vision,strategic vision,vision development,vision mixers,vision mixing,vision plus,vision systems",1171,1698,988
visionary,subsuper,visionary thinking,29,70,54
visionary thinking,subsuper,"visionary,creative thinking,critical thinking,design thinking,forward thinking,independent thinking,innovative thinking,lateral thinking,lean thinking,strategic thinking,systems thinking,visual thinking",4,0,2
visual,subsuper,"visual analytics,visual arts,visual basic,visual communication,visual concepts,visual design,visual development,visual effects,visual force,visual foxpro,visual identity,visual inspection,visual management,visual merchandising,visual storytelling,visual studio,visual thinking,audio visual support,microsoft visual sourcesafe,microsoft visual studio,visual web developer",512,2911,591
voice,subsuper,"voice mail,voice networks,voice over,voice switches,voice mail systems",586,716,423
voice over,subsuper,"voice,voice mail,voice networks,voice switches,voice mail systems",16,33,7
whiteboards,subsuper,interactive whiteboards,0,0,0
interactive whiteboards,subsuper,"whiteboards,interactive advertising,interactive art,interactive design,interactive kiosks,interactive marketing,interactive media,interactive storytelling,interactive tv,interactive whiteboard",2,0,3
winches,subsuper,hydraulic winches,15,26,6
business events,subsuper,"asian business,business acquisition,business acumen,business administration,business advisory,business affairs,business alignment,business alliances,business analysis,business analyst,business analytics,business applications,business architecture,business aviation,business cards,business case,business center,business communication,business communications,business consultancy,business consulting,business continuity,business control,business correspondence,business design,business development,business economics,business efficiency,business engineering,business english,business ethics,business etiquette,business excellence,business expansion,business finance,business growth,business ideas,business information,business initiatives,business innovation,business insights,business insurance,business integration,business intelligence,business interruption,business launch,business law,business leadership,business loans,business management,business meetings,business modeling,business negotiation,business networking,business news,business object,business objects,business operations,business optimization,business partner,business partnering,business plan,business planning,business process,business profitability,business reporting,business requirements,business resilience,business rules,business services,business simulation,business solution,business solutions,business statistics,business strategy,business systems,business technology,business transactions,business transformation,business transition,business travel,business understanding,business units,business valuation,business visas,business warehouse,business workflows,business writing,charity events,coordinate events,coordinating events,corporate events,enterprise business,events coordination,events management,events marketing,events organisation,events organizing,events planning,executing events,hosting events,international business,international events,launch events,live events,major events,managing events,media events,music events,networking events,private events,small business,social business,social events,special events,strategic business,sustainable business,agresso business world,asia business development,building business relationships,building new business,business case development,business case modelling,business case preparation,business change management,business continuity management,business continuity planning,business decision making,business growth strategies,business impact analysis,business in china,business intelligence projects,business intelligence software,business intelligence tools,business management software,business model development,business model innovation,business model transformation,business operations management,business partner support,business performance management,business plan formulation,business process analysis,business process automation,business process design,business process development,business process engineering,business process excellence,business process improvement,business process integration,business process management,business process mapping,business process modelling,business process outsourcing,business process reengineering,business recovery planning,business relationship building,business relationship management,business risk management,business service management,business software applications,business systems analysis,china business development,commercial business development,digital business development,driving business growth,global business development,global business management,global business planning,hr business partner,hr business partnering,international business development,it business management,large scale events,new business development,new business generation,new business opportunities,online business management,oracle business intelligence,organization of events,preparing business cases,product launch events,regional business development,sap business intelligence,sap business objects,sap business one,small business lending,strategic business development,strategic business initiatives,strategic business planning,strong business acumen,tibco business events,tibco business events,tibco business studio,tibco business works,trusted business advisor,trusted business partner",34,55,26
business growth,subsuper,"asian business,business acquisition,business acumen,business administration,business advisory,business affairs,business alignment,business alliances,business analysis,business analyst,business analytics,business applications,business architecture,business aviation,business cards,business case,business center,business communication,business communications,business consultancy,business consulting,business continuity,business control,business correspondence,business design,business development,business economics,business efficiency,business engineering,business english,business ethics,business etiquette,business events,business excellence,business expansion,business finance,business ideas,business information,business initiatives,business innovation,business insights,business insurance,business integration,business intelligence,business interruption,business launch,business law,business leadership,business loans,business management,business meetings,business modeling,business negotiation,business networking,business news,business object,business objects,business operations,business optimization,business partner,business partnering,business plan,business planning,business process,business profitability,business reporting,business requirements,business resilience,business rules,business services,business simulation,business solution,business solutions,business statistics,business strategy,business systems,business technology,business transactions,business transformation,business transition,business travel,business understanding,business units,business valuation,business visas,business warehouse,business workflows,business writing,driving growth,enterprise business,growth capital,growth hacking,growth management,growth strategies,growth strategy,international business,membership growth,profitable growth,sales growth,small business,social business,strategic business,sustainable business,agresso business world,asia business development,building business relationships,building new business,business case development,business case modelling,business case preparation,business change management,business continuity management,business continuity planning,business decision making,business growth strategies,business growth strategies,business impact analysis,business in china,business intelligence projects,business intelligence software,business intelligence tools,business management software,business model development,business model innovation,business model transformation,business operations management,business partner support,business performance management,business plan formulation,business process analysis,business process automation,business process design,business process development,business process engineering,business process excellence,business process improvement,business process integration,business process management,business process mapping,business process modelling,business process outsourcing,business process reengineering,business recovery planning,business relationship building,business relationship management,business risk management,business service management,business software applications,business systems analysis,china business development,commercial business development,digital business development,driving business growth,driving business growth,global business development,global business management,global business planning,hr business partner,hr business partnering,international business development,it business management,new business development,new business generation,new business opportunities,online business management,oracle business intelligence,preparing business cases,regional business development,sap business intelligence,sap business objects,sap business one,small business lending,strategic business development,strategic business initiatives,strategic business planning,strong business acumen,tibco business events,tibco business studio,tibco business works,trusted business advisor,trusted business partner",470,113,106
business partner,subsuper,"asian business,business acquisition,business acumen,business administration,business advisory,business affairs,business alignment,business alliances,business analysis,business analyst,business analytics,business applications,business architecture,business aviation,business cards,business case,business center,business communication,business communications,business consultancy,business consulting,business continuity,business control,business correspondence,business design,business development,business economics,business efficiency,business engineering,business english,business ethics,business etiquette,business events,business excellence,business expansion,business finance,business growth,business ideas,business information,business initiatives,business innovation,business insights,business insurance,business integration,business intelligence,business interruption,business launch,business law,business leadership,business loans,business management,business meetings,business modeling,business negotiation,business networking,business news,business object,business objects,business operations,business optimization,business partnering,business plan,business planning,business process,business profitability,business reporting,business requirements,business resilience,business rules,business services,business simulation,business solution,business solutions,business statistics,business strategy,business systems,business technology,business transactions,business transformation,business transition,business travel,business understanding,business units,business valuation,business visas,business warehouse,business workflows,business writing,enterprise business,international business,partner development,partner engagement,partner management,partner marketing,partner programs,partner recruitment,small business,social business,strategic business,sustainable business,agresso business world,asia business development,building business relationships,building new business,business case development,business case modelling,business case preparation,business change management,business continuity management,business continuity planning,business decision making,business growth strategies,business impact analysis,business in china,business intelligence projects,business intelligence software,business intelligence tools,business management software,business model development,business model innovation,business model transformation,business operations management,business partner support,business partner support,business performance management,business plan formulation,business process analysis,business process automation,business process design,business process development,business process engineering,business process excellence,business process improvement,business process integration,business process management,business process mapping,business process modelling,business process outsourcing,business process reengineering,business recovery planning,business relationship building,business relationship management,business risk management,business service management,business software applications,business systems analysis,channel partner development,china business development,commercial business development,digital business development,driving business growth,global business development,global business management,global business planning,hr business partner,hr business partner,hr business partnering,international business development,it business management,new business development,new business generation,new business opportunities,online business management,oracle business intelligence,partner relationship management,preparing business cases,regional business development,sap business intelligence,sap business objects,sap business one,small business lending,strategic business development,strategic business initiatives,strategic business planning,strong business acumen,tibco business events,tibco business studio,tibco business works,trusted business advisor,trusted business partner,trusted business partner",365,216,176
business plan,subsuper,"asian business,business acquisition,business acumen,business administration,business advisory,business affairs,business alignment,business alliances,business analysis,business analyst,business analytics,business applications,business architecture,business aviation,business cards,business case,business center,business communication,business communications,business consultancy,business consulting,business continuity,business control,business correspondence,business design,business development,business economics,business efficiency,business engineering,business english,business ethics,business etiquette,business events,business excellence,business expansion,business finance,business growth,business ideas,business information,business initiatives,business innovation,business insights,business insurance,business integration,business intelligence,business interruption,business launch,business law,business leadership,business loans,business management,business meetings,business modeling,business negotiation,business networking,business news,business object,business objects,business operations,business optimization,business partner,business partnering,business planning,business process,business profitability,business reporting,business requirements,business resilience,business rules,business services,business simulation,business solution,business solutions,business statistics,business strategy,business systems,business technology,business transactions,business transformation,business transition,business travel,business understanding,business units,business valuation,business visas,business warehouse,business workflows,business writing,control plan,enterprise business,international business,master plan,sales plan,small business,social business,strategic business,sustainable business,agresso business world,asia business development,building business relationships,building new business,business case development,business case modelling,business case preparation,business change management,business continuity management,business continuity planning,business decision making,business growth strategies,business impact analysis,business in china,business intelligence projects,business intelligence software,business intelligence tools,business management software,business model development,business model innovation,business model transformation,business operations management,business partner support,business performance management,business plan formulation,business plan formulation,business process analysis,business process automation,business process design,business process development,business process engineering,business process excellence,business process improvement,business process integration,business process management,business process mapping,business process modelling,business process outsourcing,business process reengineering,business recovery planning,business relationship building,business relationship management,business risk management,business service management,business software applications,business systems analysis,china business development,commercial business development,digital business development,driving business growth,global business development,global business management,global business planning,hr business partner,hr business partnering,international business development,it business management,new business development,new business generation,new business opportunities,online business management,oracle business intelligence,preparing business cases,project management plan,regional business development,sap business intelligence,sap business objects,sap business one,small business lending,strategic business development,strategic business initiatives,strategic business planning,strong business acumen,tibco business events,tibco business studio,tibco business works,trusted business advisor,trusted business partner",464,82,81
call center,subsuper,"business center,call centers,call logging,call monitoring,call routing,command center,data center,performance center,quality center,system center,call center administration,call center administration,call center software,call center software,center of excellence,cisco call manager,contact center operations,cost center management,data center architecture,data center consolidation,data center design,data center infrastructure,data center management,data center operations,data center relocation,distribution center operations,hp performance center,hp quality center,hp service center,microsoft system center,security operations center,shared service center,system center products,system center suite",63,316,141
call center software,subsuper,"2d software,accounting software,adobe software,analytical software,animation software,antivirus software,apple software,assessment software,autodesk software,b2b software,banking software,bloomberg software,business center,calendar software,calibration software,call center,call center,call centers,call logging,call monitoring,call routing,certain software,clustering software,command center,compliance software,computer software,crm software,data center,database software,debugging software,delphi software,deployment software,drafting software,drawing software,editing software,educational software,email software,embedded software,encryption software,enterprise software,erp software,estimating software,firewall software,focus software,gis software,graphics software,hr software,hyperion software,imaging software,instructional software,inventory software,invoice software,maintenance software,mastercam software,mentor software,microstrategy software,migration software,mobile software,modeling software,navigation software,optimization software,oracle software,payroll software,performance center,presentation software,pricing software,productivity software,purchasing software,quality center,reporting software,sales software,sap software,sas software,scanning software,scheduling software,shipping software,simulation software,software analysis,software architecture,software consulting,software deployment,software design,software development,software distribution,software documentation,software engineering,software estimation,software implementation,software industry,software installation,software integration,software libraries,software licensing,software packaging,software procurement,software quality,software requirements,software sales,software solutions,software testing,software training,software troubleshooting,software validation,software verification,specification software,spreadsheet software,spss software,statistical software,statistics software,system center,tableau software,tax software,testing software,times software,training software,troubleshooting software,verification software,vmware software,workflow software,3d modeling software,access management software,applicant tracking software,asset management software,automated software testing,business intelligence software,business management software,business software applications,call center administration,call center administration,case management software,center of excellence,cisco call manager,configuration management software,contact center operations,control system software,cost center management,custom software development,data analysis software,data center architecture,data center consolidation,data center design,data center infrastructure,data center management,data center operations,data center relocation,data management software,data visualization software,database management software,defect tracking software,desktop publishing software,digital imaging software,distribution center operations,email marketing software,embroidery design software,financial analysis software,fleet management software,help desk software,hp performance center,hp quality center,hp service center,human modeling software,image editing software,image processing software,incident tracking software,inventory control software,inventory tracking software,jd edwards software,job scheduling software,machine control software,maintenance management software,microsoft office software,microsoft system center,myob accounting software,network management software,network monitoring software,object oriented software,office suite software,offshore software development,open source software,operating system software,oracle hyperion software,patch management software,patient management software,process simulation software,project management software,project planning software,project scheduling software,qualitative analysis software,quality control software,rational software architect,reliability analysis software,remote access software,remote control software,requirements analysis software,resource planning software,risk analysis software,risk assessment software,risk management software,security operations center,shared service center,software asset management,software configuration management,software defined networking,software defined radio,software design patterns,software development methodologies,software development tools,software engineering practices,software licensing management,software lifecycle management,software project management,software quality assurance,software quality management,software solution sales,statistical analysis software,storage management software,supply chain software,system center products,system center suite,test design software,ubs accounting software,unit testing software,version control software,video editing software,virtual reality software,web design software,word processing software",0,0,0
developing client relationships,subsuper,"banking relationships,building relationships,carrier relationships,client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client service,client services,client servicing,client system,client training,developing countries,developing markets,external relationships,interpersonal relationships,service client,trusting relationships,vendor relationships,build strong relationships,building business relationships,building effective relationships,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,client service oriented,cross functional relationships,developing new markets,direct client interaction,key client relationships,key client relationships,manage client expectations,manage client relationships,manage client relationships,managing agency relationships,strengthening client relationships,strengthening client relationships,superior client service",19,20,10
manage client relationships,subsuper,"banking relationships,building relationships,carrier relationships,client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client service,client services,client servicing,client system,client training,external relationships,interpersonal relationships,service client,trusting relationships,vendor relationships,build strong relationships,building business relationships,building effective relationships,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,client service oriented,cross functional relationships,developing client relationships,developing client relationships,direct client interaction,key client relationships,key client relationships,manage client expectations,manage client expectations,manage complex projects,managing agency relationships,strengthening client relationships,strengthening client relationships,superior client service",38,32,14
strengthening client relationships,subsuper,"banking relationships,building relationships,carrier relationships,client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client service,client services,client servicing,client system,client training,external relationships,interpersonal relationships,service client,trusting relationships,vendor relationships,build strong relationships,building business relationships,building effective relationships,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,client service oriented,cross functional relationships,developing client relationships,developing client relationships,direct client interaction,key client relationships,key client relationships,manage client expectations,manage client relationships,manage client relationships,managing agency relationships,superior client service",3,0,0
client service,subsuper,"client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client services,client servicing,client system,client training,community service,customer service,field service,food service,guest service,hospitality service,service assurance,service catalog,service client,service client,service continuity,service coordination,service delivery,service design,service desk,service development,service engineering,service excellence,service improvement,service learning,service management,service now,service operations,service orientation,service planning,service processes,service providers,service quality,service recovery,service transformation,service transition,technical service,business service management,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,client service oriented,client service oriented,customer service management,customer service operations,customer service representatives,customer service training,developing client relationships,direct client interaction,field service engineering,food service operations,global customer service,hp service center,hp service manager,hr service delivery,it service delivery,it service management,key client relationships,manage client expectations,manage client relationships,oracle service bus,outstanding customer service,service delivery management,service desk management,service improvement plans,service level agreements,service level management,service provider networks,shared service center,strengthening client relationships,superior client service,superior client service,technical service delivery,web service development",615,862,479
client service oriented,subsuper,"action oriented,client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client service,client service,client services,client servicing,client system,client training,community service,customer oriented,customer service,deadline oriented,detail oriented,field service,food service,goal oriented,guest service,hospitality service,result oriented,results oriented,service assurance,service catalog,service client,service client,service continuity,service coordination,service delivery,service design,service desk,service development,service engineering,service excellence,service improvement,service learning,service management,service now,service operations,service orientation,service planning,service processes,service providers,service quality,service recovery,service transformation,service transition,target oriented,team oriented,technical service,business service management,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,customer service management,customer service operations,customer service representatives,customer service training,developing client relationships,direct client interaction,field service engineering,food service operations,global customer service,hp service center,hp service manager,hr service delivery,it service delivery,it service management,key client relationships,manage client expectations,manage client relationships,object oriented design,object oriented programming,object oriented software,oracle service bus,outstanding customer service,result oriented approach,service delivery management,service desk management,service improvement plans,service level agreements,service level management,service provider networks,shared service center,strengthening client relationships,superior client service,superior client service,technical service delivery,web service development",1,34,22
superior client service,subsuper,"client access,client accounts,client acquisition,client aquisition,client billing,client communication,client communications,client correspondence,client counseling,client coverage,client databases,client development,client education,client engagement,client focus,client handling,client interfacing,client liaising,client liaison,client management,client onboarding,client presentation,client prospecting,client rapport,client relations,client reporting,client retention,client service,client service,client services,client servicing,client system,client training,community service,customer service,field service,food service,guest service,hospitality service,service assurance,service catalog,service client,service client,service continuity,service coordination,service delivery,service design,service desk,service development,service engineering,service excellence,service improvement,service learning,service management,service now,service operations,service orientation,service planning,service processes,service providers,service quality,service recovery,service transformation,service transition,technical service,business service management,client due diligence,client facing skills,client interfacing skills,client relationship building,client relationship management,client server technologies,client service oriented,client service oriented,customer service management,customer service operations,customer service representatives,customer service training,developing client relationships,direct client interaction,field service engineering,food service operations,global customer service,hp service center,hp service manager,hr service delivery,it service delivery,it service management,key client relationships,manage client expectations,manage client relationships,oracle service bus,outstanding customer service,service delivery management,service desk management,service improvement plans,service level agreements,service level management,service provider networks,shared service center,strengthening client relationships,technical service delivery,web service development",10,50,34
good communication skills,subsuper,"analytical skills,brand communication,business communication,change communication,clerical skills,client communication,clinical skills,communication design,communication development,communication disorders,communication marketing,communication protocols,communication skill,communication skills,communication skills,communication strategy,communication systems,communication theory,communication training,communicative skills,computer skills,coordinating skills,coordination skills,creativity skills,culinary skills,customer communication,digital communication,drawing skills,editorial skills,effective communication,entrepreneurial skills,graphic communication,health communication,intercultural communication,interpersonal communication,interpersonal skills,interview skills,interviewing skills,intrapersonal skills,it skills,keyboard skills,laboratory skills,language skills,leadership skills,life skills,listening skills,management skills,managerial skills,marketing communication,mass communication,multitasking skills,negotiation skills,oral communication,organisational skills,organization skills,organizational communication,organizational skills,people skills,phone skills,powerpoint skills,presentation skills,professional communication,prospecting skills,radio communication,reasoning skills,science communication,secretarial skills,selling skills,social skills,soft skills,study skills,supervisory skills,teaching skills,technical communication,telephone skills,training skills,visual communication,writing skills,written communication,avaya communication manager,client facing skills,client interfacing skills,decision making skills,exceptional people skills,executive presentation skills,good clinical practice,good interpersonal skills,good interpersonal skills,great people skills,high analytical skills,interpersonal communication skills,interpersonal communication skills,problem solving skills,program management skills,proven leadership skills,public relations skills,report writing skills,sales skills training,solid computer skills,strategic selling skills,strong analytical skills,vendor management skills,wireless communication systems",418,9196,0
confined space,subsuper,"public space,space design,space management,space planing,space planning,confined space assessor,confined space assessor",13,147,47
customer relationship,subsuper,"customer acquisition,customer advocacy,customer analysis,customer analytics,customer care,customer communication,customer development,customer driven,customer engagement,customer experience,customer focus,customer insight,customer intelligence,customer interaction,customer journeys,customer loyalty,customer management,customer marketing,customer negotiations,customer oriented,customer presentations,customer profitability,customer quality,customer reference,customer relations,customer research,customer retention,customer satisfaction,customer segmentation,customer service,customer services,customer success,customer support,customer surveys,human relationship,relationship building,relationship development,relationship management,relationship marketing,relationship mgmt,bank relationship management,building customer loyalty,business relationship building,business relationship management,client relationship building,client relationship management,customer acquisition strategies,customer centric solutions,customer due diligence,customer escalation management,customer experience design,customer experience management,customer information databases,customer journey mapping,customer lifecycle management,customer product training,customer relations management,customer relationship management,customer relationship management,customer segmentation strategy,customer service management,customer service operations,customer service representatives,customer service training,customer value proposition,global customer service,it relationship management,know your customer,new customer acquisitions,outstanding customer service,partner relationship management,supplier relationship management,vendor relationship management",264,678,189
data centre,subsuper,"big data,contact centre,core data,data acquisition,data analysis,data analytic,data analytics,data architecture,data center,data cleaning,data cleansing,data collection,data collectors,data conversion,data dictionary,data domain,data entry,data extraction,data feeds,data fusion,data governance,data guard,data integration,data integrity,data interfaces,data loggers,data management,data mapping,data marts,data migration,data mining,data modeling,data modelling,data monetization,data network,data presentation,data privacy,data processing,data profiling,data protection,data pump,data quality,data reconciliation,data recovery,data research,data science,data security,data segmentation,data sheets,data strategies,data structures,data transformation,data validation,data visualization,data warehouse,data warehousing,enterprise data,financial data,geospatial data,ims data,linked data,market data,master data,nielsen data,qualitative data,reference data,spring data,static data,test data,accurate data entry,apex data loader,big data analytics,clinical data management,data acquisition systems,data analysis software,data center architecture,data center consolidation,data center design,data center infrastructure,data center management,data center operations,data center relocation,data centre management,data centre management,data loss prevention,data loss protection,data management software,data network design,data protection act,data protection manager,data quality assurance,data quality control,data visualization software,emc data domain,exploratory data analysis,geophysical data processing,hp data protector,logical data modeling,master data management,meter data management,mobile data services,oracle data guard,oracle data integrator,personal data protection,physical data modeling,relational data modeling,sap data migration,statistical data analysis,technical data analysis,teradata data warehouse",263,650,388
accurate data entry,subsuper,"big data,core data,data acquisition,data analysis,data analytic,data analytics,data architecture,data center,data centre,data cleaning,data cleansing,data collection,data collectors,data conversion,data dictionary,data domain,data entry,data entry,data extraction,data feeds,data fusion,data governance,data guard,data integration,data integrity,data interfaces,data loggers,data management,data mapping,data marts,data migration,data mining,data modeling,data modelling,data monetization,data network,data presentation,data privacy,data processing,data profiling,data protection,data pump,data quality,data reconciliation,data recovery,data research,data science,data security,data segmentation,data sheets,data strategies,data structures,data transformation,data validation,data visualization,data warehouse,data warehousing,enterprise data,financial data,geospatial data,ims data,linked data,market data,market entry,master data,nielsen data,qualitative data,reference data,spring data,static data,test data,accurate record keeping,apex data loader,big data analytics,clinical data management,data acquisition systems,data analysis software,data center architecture,data center consolidation,data center design,data center infrastructure,data center management,data center operations,data center relocation,data centre management,data loss prevention,data loss protection,data management software,data network design,data protection act,data protection manager,data quality assurance,data quality control,data visualization software,emc data domain,exploratory data analysis,geophysical data processing,hp data protector,logical data modeling,master data management,meter data management,mobile data services,oracle data guard,oracle data integrator,personal data protection,physical data modeling,relational data modeling,sap data migration,statistical data analysis,technical data analysis,teradata data warehouse",17,19,11
